topology_type,num_nodes,num_edges,num_tests,successful_deliveries,failed_deliveries,success_rate,total_hops,avg_hops,total_optimal_hops,avg_optimal_hops,stretch_ratio,gravity_hops,pressure_hops,tree_hops,ttl_failures,no_path_failures,elapsed_ms,network_size
BarabasiAlbert,100,294,1000,999,1,0.999,5640,5.645645645645645,2536,2.5385385385385386,2.22397476340694,2016,1769,1855,1,0,21,100
WattsStrogatz,100,300,1000,989,11,0.989,5907,5.972699696663296,3498,3.5369059656218402,1.6886792452830188,4060,1686,161,11,0,18,100
Grid,100,180,1000,1000,0,1.0,10861,10.861,6817,6.817,1.593222825289717,5225,4868,768,0,0,16,100
Random,100,227,1000,1000,0,1.0,5046,5.046,3207,3.207,1.5734331150608045,3808,1120,118,0,0,17,100
RealWorld,100,200,1000,978,22,0.978,15193,15.53476482617587,6311,6.452965235173824,2.4073839328157187,4581,6295,4317,22,0,19,100
BarabasiAlbert,200,594,1000,958,42,0.958,7371,7.6941544885177455,2770,2.8914405010438413,2.66101083032491,2191,2926,2254,42,0,43,200
WattsStrogatz,200,600,1000,1000,0,1.0,7101,7.101,4303,4.303,1.6502440158029281,5166,1655,280,0,0,34,200
Grid,200,371,1000,925,75,0.925,12672,13.69945945945946,8554,9.247567567567568,1.4814122048164602,4518,7772,382,75,0,30,200
Random,200,931,1000,966,34,0.966,6410,6.635610766045549,2477,2.5641821946169774,2.587807832054905,2480,2286,1644,34,0,46,200
RealWorld,200,539,1000,981,19,0.981,12286,12.523955147808358,5554,5.661569826707441,2.212099387828592,4944,3839,3503,19,0,36,200
BarabasiAlbert,300,894,1000,924,76,0.924,9493,10.273809523809524,2780,3.0086580086580086,3.414748201438849,2136,2929,4428,76,0,88,300
WattsStrogatz,300,900,1000,995,5,0.995,11030,11.085427135678392,4794,4.818090452261306,2.300792657488527,5803,4060,1167,5,0,55,300
Grid,300,565,1000,925,75,0.925,16768,18.127567567567567,10508,11.36,1.5957365816520745,6151,8981,1636,75,0,41,300
Random,300,2263,1000,925,75,0.925,6925,7.486486486486487,2231,2.4118918918918917,3.103989242492156,2007,2641,2277,75,0,83,300
RealWorld,300,1013,1000,934,66,0.934,10727,11.485010706638116,4894,5.23982869379015,2.191867592970985,5405,4533,789,66,0,55,300
