PIE + TZ Combination Results
============================

Nodes    Strategy     Success%   Stretch    MaxStr     Gravity%   TZ%       
--------------------------------------------------------------------------------
100      PIE-DFS      100.00     3.14       75.67      25.25      0.00      
100      PIE+TZ       100.00     1.30       3.50       55.96      44.04     
300      PIE-DFS      100.00     18.12      422.00     4.10       0.00      
300      PIE+TZ       100.00     1.38       4.50       49.15      50.85     
500      PIE-DFS      100.00     45.01      633.50     1.60       0.00      
500      PIE+TZ       100.00     1.40       4.00       47.01      52.99     
1000     PIE-DFS      100.00     119.57     1682.33    0.58       0.00      
1000     PIE+TZ       100.00     1.37       3.50       44.59      55.41     
2000     PIE-DFS      100.00     321.30     1942.00    0.21       0.00      
2000     PIE+TZ       100.00     1.35       3.50       43.29      56.71     
3000     PIE-DFS      100.00     535.20     3977.00    0.12       0.00      
3000     PIE+TZ       100.00     1.35       3.50       41.98      58.02     
